Exchange,Ticker,Company Name,Description,Website,Logo
CBOT,CS,soybean-crush-futures,"Soybean crush futures contracts are traded on the Chicago Board of Trade under ticker symbol CS and are delivered every year in January, February, March, May, July, August, September, October, November, December.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contractSpecs_options.html?optionProductId=1755&optionExpiration=&action=Submit#optionProductId=1755,
CBOT,ZS,soybean-futures,"First introduced in Europe in the 1700s, the soybean has become one of the most important beans in the world, securing a place for itself by providing oil and protein around the world. With applications as diversified as vegetable oil, animal feed and foodstuffs, it is no wonder that soybeans have become staples in countries far from its original roots in Eastern Asia.Fifty-five percent of the world's soybean production occurs in the Americas. The U.S. exports 37% of the world's soybeans. Originally considered merely an industrial product before the 1920s, soybeans rose to popularity for human consumption during World War II and have had a significant impact on U.S. farming. In 2007, soybeans brought in a total of $26.8 billion.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contractSpecs_options.html?optionProductId=1755&optionExpiration=&action=Submit#optionProductId=1755,
CBOT,ZM,soybean-meal-futures,"Soybean Meal futures are traded on the Chicago Board of Trade under ticker symbol SM in dollars and cents per short ton. For electronic trading sessions, the symbol ZM is used.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean-meal_contract_specifications.html?exchange=&sector=&clearingCode=MKW,
CBOT,ZL,soybean-oil-futures,"Soybean Oil futures are traded on the Chicago Board of Trade under ticker symbol BO in cents per pound. For electronic trading sessions, the symbol ZL is used.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean-oil_contract_specifications.html?exchange=&sector=AGRICULTURE&clearingCode=14,
CBOT,ZW,wheat-futures,"Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. Used mainly for human food.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/kc-wheat_contract_specifications.html,
NYMEX,AL,aluminum-futures,"COMEX Aluminum futures were traded on the COMEX division of the NYMEX under ticker symbol AL in U.S. cents per pound, until the COMEX delisted aluminum futures in september 2009.",http://www.cmegroup.com/trading/metals/base/aluminum_contractSpecs_futures.html,
NYMEX,QS,asian-gold,"From the time of the Egyptian Pharaohs to the voyage of Columbus to the New World and beyond, gold has been revered as a symbol of wealth and prosperity. Gold has also been used as currency and as a way to prop up the fiat money of various countries. One of the most significant moves to gold- and silver-backed currency occurred in 1792, which was the year that the U.S. put the dollar on the gold and silver standard.One-hundred and seventy-nine years later, in 1971, the U.S. was removed from the gold standard by President Richard Nixon. This fundamental economic shift had a tremendous impact on the price of gold around the globe. Approximately eight years later, on January 21, 1980, gold prices catapulted from a low of $35/ounce to a record high of $850/ounce, or $2,398.21 when adjusted for inflation. On March 19, 2008, gold hit a high of $1,022.40.",http://www.cmegroup.com/trading/metals/precious/gold_contract_specifications.html,
NYMEX,GC,gold-futures,COMEX Gold futures are traded on the COMEX division of the NYMEX under ticker symbol GC in U.S dollars and cents per troy ounce.,http://www.cmegroup.com/trading/metals/precious/gold_contract_specifications.html,
NYMEX,HR,hrc-steel-futures,"Hot rolled coiled steel is used in the construction and automotive industries for the manufacture of pipes, vehicle parts and other engineering applications. Sheet metal, guard rails and railroad tracks are also commonly made from it. HRC steel futures trade under the symbol ""HR"" on all applicable markets and are recorded in United States dollars.",http://www.cmegroup.com/trading/metals/ferrous/hrc-steel_contract_specifications.html,
NYMEX,SI,silver-futures,COMEX Silver futures are traded on the COMEX division of the NYMEX under ticker symbol SI in U.S. cents per troy ounce.,http://www.cmegroup.com/trading/metals/precious/silver_contractSpecs_futures.html,
NYBOT,CC,cocoa-futures,"The Cocoa contract is the world benchmark for the global cocoa market. The contract prices the physical delivery of exchange-grade product from a variety of African, Asian and Central and South American origins to any of five US delivery ports.",https://www.theice.com/products/7/Cocoa-Futures,https://www.rithmic.com/images/logo_nybot.gif
NYBOT,KC,coffee-futures,"In 1457, Kiva Han, the predecessor to today's trendy coffee shops, opened its doors in Constantinople. It brought from obscurity a well-liked but little-known beverage, coffee, to the world. Originally cultivated in the hills of Ethiopia for thousands of years, the little brown bean developed a following in the Ottoman Empire for religious purposes. Eventually, its popularity throughout the West gained it a reputation as the preferred drink of sultans and kings.If you're a coffee drinker, you can appreciate the effect that coffee can have on your body's chemistry. It has a similar chemical molecule makeup to adenosine, the fatigue molecule that your body produces. However, instead of adenosine bonding to tired cells, the caffeine in coffee is recognized by the cells and an entirely new chemical reaction occurs. The body ignores the adenosine and in a panic reaction, the brain releases adrenaline into the blood stream, creating a feeling of alertness and excitement that makes coffee a popular choice in overcoming fatigue. (Stick to your budget every day with the 15 simple tips in Squeeze A Greenback Out Of Your Latte.)",https://www.theice.com/products/15/Coffee-C-Futures,https://upload.wikimedia.org/wikipedia/commons/4/4b/New_York_Mercantile_Exchange_logo.svg
NYMEX,TT,nymex-cotton-futures,Cotton futures are traded on the New York Mercantile Exchange under ticker symbol TT in dollars and cents per pound.,http://www.cmegroup.com/trading/agricultural/softs/cotton.html,
NYBOT,SB,sugar,"Commercial sugar's origins date as far back as fourth-century India. While the Indians discovered a way to crystallize sugar, the Moors discovered a way to perfect it. With the development of sugar mills and refineries, sugar became a successful commodity in the Muslim world.In the 14th century, the Moors brought sugar growth and production to the Iberian Peninsula, and plantations were set up throughout what is now known as Spain and Portugal. These regions inherited the legacy of sugar manufacturing once the Moorish empire was successfully driven out of the Iberian Peninsula by King Ferdinand and Queen Isabella of Spain. Eventually, Portugal successfully brought sugar to the New World, and by the 16th century there were more than 3,000 sugar mills throughout South America.The refined table sugar we consider a staple was once so rare and expensive that it was referred to as ""white gold."" Sugar cane, which was the first source of sugar, is a perennial grass that is grown in tropical and subtropical areas (before the arrival of sugar cane, honey and fruit were the only common sweeteners). Later, the development of an alternative source of sugar was discovered: beets. The sugar derived from these two sources is 99.8% pure sucrose, which is a complex sugar composed of glucose and fructose. Today, sugar can be found throughout the world, with over 120 countries successfully producing it for domestic and international use. (From sugar beet to sugar cane, this sector is growing despite a lot of sour challenges. Find out more in Sugar: A Sweet Deal For Investors.)",https://www.theice.com/products/23/Sugar-No-11-Futures,https://www.rithmic.com/images/logo_nybot.gif
CME,LE,live-cattle-futures,"Live Cattle refers to cattle (cows) that have reached the requisite weight for slaughter. This is different from feeder cattle, which are the younger animals that are still in the process of being fed into fished ""fed"" cattle.Live Cattle futures are traded on the Chicago Mercantile Exchange under ticker symbol LC in cents per pound. For electronic trading sessions, the symbol LE is used.",https://www.cmegroup.com/trading/agricultural/livestock/live-cattle_contract_specifications.html?amp%3Bexchange=CME,
NYMEX,YO,sugar-no-11-futures,"Sugar No. 11 futures are traded on the New York Board of Trade under ticker symbol SB in cents and hundredths of a cent per pound.The ""Number 11"" in the contract refers the way shipping costs are handled between the buyer and the seller of the contract. Sugar #11 is sold ""Free on Board (FOB)"", which means the seller pays to ship the sugar to a port, and is responsible for loading costs. The buyer, however, is responsible for unloading costs.",http://www.cmegroup.com/trading/agricultural/softs/sugar-no11_contract_specifications.html,
NYMEX,CJ,cocoa,"With a scientific name like Theobroma, which means ""food of the gods,"" it's no wonder that the world can't seem to get enough cocoa. The origins of the cocoa plant can be traced back thousands of years. Discovered during the early exploration of the Americas, cocoa successfully spread across Europe in the 1600s as sweeteners and flavorings were added.Originally a bitter beverage for the royal court of the Mayan empire, cocoa production has become an international industry. Today, cocoa trees are predominantly grown in West Africa, primarily processed in the Netherlands and the U.S., and cocoa is consumed in one form or another by every country in the world.",http://www.cmegroup.com/europe/products/agricultural/softs/physically-delivered-cocoa_contractSpecs_futures.html,
CBOT,ZW,kansas-city-wheat-futures,"Kansas City Wheat Futures (alternately referred to as ""KC Wheat,"" ""KCBT Wheat,"" ""Hard Red Winter Wheat,"" and ""HRW Wheat"") are traded on the Kansas City Board of Trade (KCBT) under ticker symbol KW in cents per bushel.For electronic trading sessions, the symbol KE is used.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/kc-wheat_contract_specifications.html,
CBOT,XC,mini-sized-corn-futures,"Mini-Corn futures are traded on the Chicago Board of Trade under ticker symbol YC in cents per bushel. For electronic trading sessions, the symbol XC is used.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/mini-sized-corn_contract_specifications.html?deliveryMonth=U7&timeSlot=20160829%3A2,
CBOT,XK,mini-sized-soybean-futures,"Mini-Soybean futures are traded on the Chicago Board of Trade under ticker symbol YK in cents per bushel. For electronic trading sessions, the symbol XK is used.",http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/mini-sized-soybean_contract_specifications.html?exchange=CBT&sector=INTEREST+RATES&clearingCode=,
CBOT,XW,mini-sized-wheat-futures,"Mini-Sized Wheat Futures are traded on the Chicago Board of Trade (CBOT) under ticker symbol YW in cents per bushel.[1] For electronic trading sessions, the symbol XW is used.",https://www.cmegroup.com/trading/agricultural/files/mini-sized-kc-hrw-wheat-contract-specs.pdf,
CBOT,ZO,oats-futures,"A plant with open, spreading panicle-bearing large spikelets. Used primarily in breakfast foods. Makes excellent fodder for horses.Obtained by crushing or rolling the whole or broken grain; includes grains flaked, hulled or otherwise worked for human consumption.",https://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contract_specifications.html?exchange=&sector=&clearingCode=C,
CBOT,ZR,rice,Rice is a cereal grain and one of the most widely consumed foodstuffs throughout the world.,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/rough-rice_contractSpecs_options.html?underlyingFutureContract=14X6&optionProductId=337&optionExpiration=337-F7&strikeRange=ALL#optionProductId=337,
MGEX,MWE,spring-wheat-futures,spring wheat futures,http://www.mgex.com/spring_wheat.html,
ICE,AB,western-barley-futures,"The Barley contract prices physical delivery of feed barley free-on-board at elevators in Eastern Saskatchewan, with additional delivery points across the Canadian prairies.",https://www.theice.com/products/3912654/Barley-Futures,http://www.logosurfer.com/sites/default/files/styles/large/public/IntercontinentalExchange.jpg?itok=7teLGy-F
NYMEX,BZ,brent-crude,"Brent Crude (also known as Brent Blend, London Brent, and Brent petroleum) is a crude oil sourced from the North Sea (the region between the British Isles, mainland Europe, and Scandinavia). It is generally classified as a light, sweet crude blend, thereby making it easy to refine. It is however, not as light as light crude (often referred to as West Texas Intermediate to distinguish the somewhat confusing nomenclature).Brent Crude futures are traded on the New York Mercantile Exchange under ticker symbol BZ. Futures contracts are delivered every month of the year.",http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil.html,
NYMEX,BB,brent-crude-oil-futures,Brent Crude Oil futures are traded on the New York Mercantile Exchange under ticker symbol SC in U.S. dollars and cents per barrel.,http://www.cmegroup.com/trading/energy/crude-oil/brent-crude-oil_contract_specifications.html,
NYMEX,CL,crude-oil-futures,Light Sweet Crude Oil futures are traded on the New York Mercantile Exchange under ticker symbol CL in U.S. dollars and cents per barrel.,http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude_contractSpecs_futures.html,
NYMEX,JM,electricity-futures,Electricity futures are traded on the New York Mercantile Exchange under ticker symbol JM in U.S. dollars and cents per Mwh.,http://cmegroup.mediaroom.com/index.php?s=43&item=2759,
CBOT,EH,ethanol-futures,Ethanol futures are traded on the Chicago Board of Trade under ticker symbol AC in U.S dollars and cents per gallon.,https://www.cmegroup.com/trading/energy/ethanol/cbot-ethanol_contract_specifications.html?exchange=&sector=AGRICULTURE&clearingCode=,
NYMEX,RB,gasoline,Gasoline is a mixture of hydrocarbons used primarily in the fueling of internal combustion engines (e.g. automobile engines). Gasoline prices generally follow crude oil prices. The commodity trades on the NYMEX and is valued in US dollars per gallon.,http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline_contractSpecs_futures.html,
NYMEX,LU,gulf-coast-diesel-futures,Gulf Coast Diesel futures are traded on the New York Mercantile Exchange under ticker symbol LU in U.S. dollars and cents per barrel.,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-ultra-low-sulfur-diesel-ulsd-argus-calendar-swap_contract_specifications.html,
NYMEX,LR,gulf-coast-gasoline-futures,Gulf Coast Gasoline futures are traded on the New York Mercantile Exchange under ticker symbol LR in U.S dollars and cents per barrel.,http://www.cmegroup.com/trading/energy/refined-products/gulf-coast-cbob-gasoline-a2-platts-swap_contract_specifications.html,
NYMEX,HO,heating-oil,"Heating oil is a refined byproduct of crude oil. After crude oil is broken down during the refinement process, it is separated into heating oil. Similar to diesel oil, heating oil's official name is No. 2 fuel oil.The use of heating oil gained ground with the invention of the oil burner in the 1920s. Until then, homes were heated by coal. Coal was messy, expensive, and required ample storage space and extensive manual labor on the part of the user. Conversely, heating oil freed up basement space and reduced pollution in the home - no soot or ash to contend with on furniture, clothing, and worse, in lungs. What's more, when heating oil is burned, a room thermostat can easily regulate heat to a consistent temperature.",https://www.cmegroup.com/trading/energy/refined-products/gulf-coast-heating-oil-calendar-swap_contract_specifications.html,
NYMEX,HO,heating-oil-futures,A monthly cash settled future based on the daily settlement price for Heating Oil Futures.,https://www.cmegroup.com/trading/energy/refined-products/gulf-coast-heating-oil-calendar-swap_contract_specifications.html,
NYMEX,CL,light-crude,"Light Sweet Crude Oil Futures Contract offers participants the opportunity to trade one of the world's most liquid oil commodities in an electronic marketplace. The contract not only brings the benefits of electronic trading a US light sweetcrude maker, but also brings together the world's three most significant oil benchmarks on a single exchange: Brent, Middle East Sour Crude and WTI. This offers a reduction in collateral requirements through the offsetting of margins.",http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude.html,
NYMEX,QM,miny-crude-oil-futures,"Crude oil is a naturally-occurring substance found in certain rock formations in the earth. To extract the maximum value from crude, it needs to be refined into petroleum products. The best-known of these is gasoline, or petrol. Others include liquefied petroleum gas (LPG), naphtha, kerosene, gas oil and fuel oil.Oil wells are used to release the oil from within the earth. Some of the earliest developed oil wells were drilled in China using bamboo poles. These oil wells were developed in 347 A.D. for the sole purpose of providing enough fuel to create a thriving salt industry. By the 1950s, crude oil became a global energy source, which in effect killed the whaling industry by making whale oil obsolete.",http://www.cmegroup.com/trading/energy/crude-oil/emini-crude-oil_contractSpecs_futures.html,
NYMEX,QU,miny-gasoline-futures,MiNY Gasoline futures are traded on the New York Mercantile Exchange under ticker symbol QU in U.S. cents per gallon.,http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline_contractSpecs_futures.html,
ICE,QH,miny-heating-oil-futures,"Heating oil is a refined byproduct of crude oil. After crude oil is broken down during the refinement process, it is separated into heating oil. Similar to diesel oil, heating oil's official name is No. 2 fuel oil.The use of heating oil gained ground with the invention of the oil burner in the 1920s. Until then, homes were heated by coal. Coal was messy, expensive, and required ample storage space and extensive manual labor on the part of the user. Conversely, heating oil freed up basement space and reduced pollution in the home - no soot or ash to contend with on furniture, clothing, and worse, in lungs. What's more, when heating oil is burned, a room thermostat can easily regulate heat to a consistent temperature. (These options represent one of the most important political commodities. Read more in Fueling Futures In The Energy Market.)While heating oil contracts are used to hedge against price fluctuation in jet fuel and diesel, they are essentially different products and adhere to their own quality standards.",https://www.theice.com/products/27066804/Heating-Oil-1st-Line-Mini-Future,https://upload.wikimedia.org/wikipedia/commons/4/4b/New_York_Mercantile_Exchange_logo.svg
NYMEX,QG,miny-natural-gas-futures,MiNY Natural Gas futures are traded on the New York Mercantile Exchange under ticker symbol QG in U.S. dollars and cents per mmBtu.,http://www.cmegroup.com/trading/energy/natural-gas/emini-natural-gas_contractSpecs_futures.html,
NYMEX,NG,natural-gas-futures,"Natural gas is used extensively throughout the U.S. to heat homes, and also has important applications in commercial and industrial settings. It is similar to what is referred to as biogas, which is methane produced from the breakdown of organic matter. Because it is a fossil fuel, it contains many secondary products that must be filtered out of the methane to render it commercially viable. Ethane, propane, butane, helium and hydrogen sulfide are removed and are considered a secondary income source for refiners.Once considered an ineffective byproduct of oil production, natural gas is steadily finding a foothold in today's world. Economical, environmentally friendly and efficient, natural gas is the cleanest-burning fossil fuel, and technologies are improving the way it is captured, transported and distributed.According to statistics published in 2009 by the Federal Energy Regulatory Commission, 96% of the world's natural gas reserves reside outside of the U.S., yet 25% of the country's energy comes from natural gas.",http://www.cmegroup.com/trading/energy/nymex-natural-gas-futures.html,
NYMEX,PN,propane-futures,"Propane is produced as a by-product of two other processes, natural gas processing and petroleum refining. The processing of natural gas involves removal of butane, propane, and large amounts of ethane from the raw gas, in order to prevent condensation of these volatiles in natural gas pipelines. Additionally, oil refineries produce some propane as a by-product of cracking petroleum into gasoline or heating oil.Propane is one of a group of liquefied petroleum gases (LP gases). The others include butane, propylene, butadiene, butylene, isobutylene and mixtures thereof.",http://www.cmegroup.com/trading/energy/petrochemicals/mont-belvieu-physical-ldh-propane-opis_contract_specifications.html,
NYMEX,RB,rbob-gasoline-futures,RBOB Gasoline futures are traded on the New York Mercantile Exchange under ticker symbol RB in U.S. dollars and cents per gallon.,http://www.cmegroup.com/trading/energy/refined-products/rbob-gasoline_contractSpecs_futures.html,
NYMEX,HZ,singapore-380cst-fuel-oil-futures,Singapore 380cst Fuel Oil futures are traded on the New York Mercantile Exchange under ticker symbol HZ in U.S. dollars and cents per metric ton.,http://www.cmegroup.com/trading/energy/refined-products/singapore-380cst-fuel-oil-platts-swap-futures_contract_specifications.html,
NYMEX,UX,uranium,"Uranium is a metal whose most well known commercial use is as fuel for nuclear power plants, which provided around 16% of the world's electricity in 2007.(Other uses include counterweights for helicopters, ammunition and radiation shields. The exact use depends on the specific isotope.) Nuclear power is slowly making a comeback as an electricity source of choice in the U.S. market. At the middle of 2009, the U.S. Nuclear Regulatory Commission (NRC) had received 17 applications for combined construction and operating licenses (COL) for 26 new nuclear reactors.[2] Also, in June of 2009 there was evidence of growing U.S. government support; the Energy Department said it would invest $18.5 billion in federal loan guarantees to four U.S. firms to help build a new generation of nuclear reactors.",http://www.cmegroup.com/trading/metals/other/uranium_contractSpecs_futures.html,
NYMEX,TT,cotton,"King Cotton has been around for thousands of years. Independently discovered in both the Old World and New World, no other commodity has created more controversy, built more nations, enriched more lives and caused more suffering. Extensively cultivated in India for 6,000 years, cotton became the darling of the British Empire via the Dutch East India Company during the 18th century.As slavery began to take root in the U.S., cheaper and heartier cotton from the South began to supplement and later replace Indian cotton. This coincided with Britain's desire to de-industrialize India's cotton industry and expand its own during the 19th century.",http://www.cmegroup.com/trading/agricultural/softs/cotton.html,
NYMEX,AL,aluminum,"Aluminium or aluminum (in North American English) is a chemical element in the boron group with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic, ductile metal. Aluminium is the third most abundant element in the Earth's crust (after oxygen and silicon) and its most abundant metal. Aluminium makes up about 8% of the crust by mass, though it is less common in the mantle below. Aluminium metal is so chemically reactive that native specimens are rare and limited to extreme reducing environments. Instead, it is found combined in over 270 different minerals. The chief ore of aluminium is bauxite.",http://www.cmegroup.com/trading/metals/base/aluminum_contractSpecs_futures.html,
NYMEX,QT,asian-palladium-futures,"Palladium is a chemical element with symbol Pd and atomic number 46. It is a rare and lustrous silvery-white metal discovered in 1803 by William Hyde Wollaston. He named it after the asteroid Pallas, which was itself named after the epithet of the Greek goddess Athena, acquired by her when she slew Pallas. Palladium, platinum, rhodium, ruthenium, iridium and osmium form a group of elements referred to as the platinum group metals (PGMs). These have similar chemical properties, but palladium has the lowest melting point and is the least dense of them.More than half the supply of palladium and its congener platinum is used in catalytic converters, which convert as much as 90% of the harmful gases in automobile exhaust (hydrocarbons, carbon monoxide, and nitrogen dioxide) into less noxious substances (nitrogen, carbon dioxide and water vapor). Palladium is also used in electronics, dentistry, medicine, hydrogen purification, chemical applications, groundwater treatment, and jewelry. Palladium is a key component of fuel cells, which react hydrogen with oxygen to produce electricity, heat, and water.",http://www.cmegroup.com/trading/metals/precious/platinum-palladium-spread_contractSpecs_options.html,
NYMEX,QR,asian-platinum-futures,"Platinum was a part of Native American culture before Columbus arrived in the New World. In 1557, Julius Caesar Scaliger writes about the metal, referencing the platinum mines of Panama and Mexico and the difficulty of melting the metal based on the technology of the times. Europeans realized early on that platinum was more precious than gold. King Louis XV of France acknowledged platinum's rarity and declared it the only metal fit for a king.During the 19th century, platinum was very difficult to metalsmith. It was often mixed with iridium in order to mold it into jewelry. Around the turn of the 20th century, Russia made several significant platinum deposit discoveries and began to produce 90% of the world's platinum. At the same time, advances in metalsmithing made the use of pure platinum more common.Platinum's metallic properties make it highly attractive in a variety of commercial and industrial applications. It has a high resistance to temperature and does not oxidize in air, although it is corroded by halogens, cyanides, sulfur and caustic alkalis. What's more, it is also non-reactive to chemical attack and has excellent electrical properties. (All that glitters isn't gold. Find out how to get started on your treasure hunt in A Beginner's Guide To Precious Metals.)",http://www.cmegroup.com/trading/metals/precious/platinum.html,
